No of Bedrooms ,total_sqft,bath,No of balcony,site_location,price
3,1484,3,1,51,74.18
3,1500,2,1,51,63
3,1374,3,2,51,72
5,1200,3,2,51,95
3,1634,3,1,51,111
2,1100,2,2,51,85
2,1137,2,1,51,53.4
2,1367,2,2,51,86
3,1466,3,3,51,77.59
3,1200,2,0,51,66
3,1804,3,2,51,150
2,1320,2,1,51,91
2,1360,2,0,51,45
2,1007,2,1,51,53
2,497,1,1,51,25
7,1200,7,2,51,139
6,1800,6,0,51,68
3,1350,2,2,51,130
1,560,1,0,51,90
2,770,2,2,51,30
1,656,1,1,51,38.77
4,2440,2,0,51,415
3,2500,4,2,51,112
2,1075,2,1,51,48.38
2,497,1,1,51,20
2,1340,2,2,51,73
3,1530,3,2,51,71
2,1019,2,2,51,49.86
2,1196,2,1,51,44.8
2,1222,2,2,51,98
3,1571,3,2,51,65
3,2275,4,2,51,182
4,2800,4,0,51,375
1,936,1,0,51,53
3,4800,4,2,51,600
2,1230,2,2,51,66.25
3,1245,2,1,51,60
2,1100,2,1,51,38
1,410,1,1,51,10
4,940,4,2,51,45
5,1550,3,1,51,250
2,800,1,2,51,30
2,1225,2,2,51,56
3,1530,3,2,51,76.34
4,1200,5,1,51,150
5,9600,7,2,51,2736
1,625,1,1,51,43.68
3,1827,3,2,51,97
2,1322,2,1,51,77.9
2,1343,2,1,51,76
2,1180,2,2,51,85
2,1100,2,2,51,46.2
3,1400,2,0,51,70.385
3,1500,3,3,51,100
3,1676,3,0,51,92.13
3,1770,3,2,51,99
2,1030,2,1,51,50.36
2,1181,2,1,51,61
2,1025,2,1,51,44
2,1150,2,1,51,40.25
2,1096,2,2,51,40
4,2830,5,0,51,154.5
3,1670,3,1,52,99
2,890,2,1,52,35
3,1644,3,3,52,84
2,1200,2,0,52,79
3,2150,4,0,52,240
2,1028,2,1,52,45.5
2,1030,2,2,52,49
2,1153,2,2,52,57
4,2830,3,3,52,195
2,1250,2,3,52,52
2,1225,2,0,52,53
3,2144,3,2,52,135
2,1200,2,2,52,46.17
9,4050,7,1,52,1200
2,1185,2,2,52,42.1
1,628,1,1,52,24
3,1378,2,3,52,42.33
4,3630,6,0,52,224.5
3,1724,3,2,52,127
2,1200,2,0,52,95
2,1206,2,2,52,56
3,1476,3,2,52,105
3,3800,3,0,52,580
3,1200,2,0,52,80
2,1085,2,1,52,47.74
3,1639,3,1,52,83
2,1255,2,1,52,92
2,750,2,2,52,22
2,871,2,2,52,55
3,1476,3,0,52,89
3,1700,3,3,52,120
5,1100,4,3,52,150
4,2400,5,2,52,253
4,3000,4,3,52,342
3,1517,3,2,52,76.3
3,1372,2,1,52,90
2,1100,2,1,52,54
2,1241,2,1,52,82
2,1137,2,1,52,63
3,1680,3,2,52,120
2,1100,2,1,52,46
2,1255,2,1,52,80
3,1965,4,2,52,125
2,1097,2,3,52,65
2,1145,2,2,52,48
2,1100,2,2,52,38
2,1150,2,2,52,49
2,1500,2,0,52,203
3,1785,3,3,52,118
3,1408,2,0,52,55
3,2000,3,2,52,85
3,1350,3,2,52,58
1,650,1,1,52,25
2,1070,2,1,52,49.65
3,1825,3,0,52,175
2,1070,2,2,52,33.15
2,1020,2,1,52,62
3,1852,2,0,52,95
3,1223,2,2,52,42.81
3,1435,3,1,52,73
3,1381,2,2,52,76.18
1,605,1,0,52,30.715
2,1120,2,2,52,50
1,550,1,1,52,23
2,1060,2,1,52,49.27
3,1200,4,2,52,80
3,2099,3,0,52,95
3,1485,2,1,52,156
3,1320,2,1,52,38.13
2,1322,2,2,52,80
3,1315,2,2,52,65
8,1200,8,1,52,135
1,435,1,1,52,21
9,1200,9,3,52,215
2,1250,2,1,52,50
2,1000,2,0,52,58
3,1564,3,1,52,105
3,1650,3,3,52,220
3,1350,3,1,52,47.25
3,1603,3,3,52,113
2,1125,2,3,52,55
8,1200,6,3,52,105
3,1650,3,3,52,100
4,4112.19,1,0,52,229
3,1210,2,2,52,81
4,3870,4,2,52,411
2,1255,2,1,52,57.5
3,1350,3,2,52,81
4,2119,4,3,52,111
3,1605,3,2,52,76
2,902,2,1,52,25.26
2,1073,2,1,52,52.36
2,1150,2,1,52,38
4,1495,2,1,52,300
3,1075,2,1,52,48
3,1000,2,1,52,120
2,1210,2,1,52,69
1,534,1,1,52,19.65
2,1130,2,1,52,46.33
2,1050,2,1,52,49.5
6,1508,5,2,52,240
3,2480,4,1,52,265
3,1100,3,2,52,53
2,1050,2,1,52,48
3,1830,3,2,52,133
2,1027,2,2,52,44
2,1420,2,1,52,99.39
5,2800,5,1,52,220
2,1162,2,1,52,58
2,1045,2,2,52,42.15
2,1277,2,2,52,92
2,1100,2,1,52,58
3,1176,2,1,52,37.62
3,1765,3,2,52,118
4,3200,4,0,52,270
3,1656,2,1,52,62.93
3,1933,3,2,52,140
3,1880,3,2,52,96.5
5,2000,4,0,52,65
2,1056,2,1,52,75
2,1200,2,1,52,65
4,1125,3,2,52,126
4,2400,6,0,52,122.5
3,1724,3,2,52,128
3,1930,4,2,52,122
1,1000,1,1,52,60
3,1330,2,2,52,44
2,1500,2,0,52,91
3,1400,2,3,52,56
3,600,5,1,52,135
3,1336,2,3,52,50.35
2,1154,2,1,52,57
8,1000,7,3,52,260
3,1910,4,3,52,150
2,1309,2,3,52,69.5
3,1945,3,2,52,135
2,935,2,1,52,32.72
2,814,2,1,52,43.7
5,1500,6,2,52,145
3,2010,3,2,53,91
3,1612,3,3,53,46.74
2,1285,2,3,53,72.5
2,1230,2,3,53,48
3,1450,3,2,53,55
2,1222,2,2,53,45
2,1200,2,1,53,85
3,1325,3,1,53,57
3,1320,2,1,53,38.13
3,1800,3,0,53,110
2,1256,2,1,53,62.8
7,1200,6,2,53,140
3,1403,3,3,53,51.63
3,1500,2,1,53,100
2,850,2,1,53,25
7,1200,6,2,53,195
2,1277,2,1,53,61.3
3,1400,2,2,53,48
3,1670,3,3,53,91.86
2,900,2,0,53,55
2,1075,2,3,53,52
2,500,2,1,53,70
9,3125,9,0,53,350
3,1901,3,2,53,119
2,1139,2,2,53,56.8
3,1804,3,2,53,102
4,1400,3,2,53,91.15
3,1917,3,3,53,122
2,1020,2,2,53,40
2,1200,2,3,53,65
3,1549,3,2,53,65
3,1634,3,3,53,78
3,1220,3,2,53,62
3,1559,3,2,53,63
6,3800,8,0,53,200
4,2363,5,2,53,120
3,2400,3,2,53,149
1,660,1,1,53,62
3,1360,2,1,53,70.5
2,675,3,1,53,52
2,1200,2,2,53,55
3,1904,3,3,53,155
3,1300,2,2,53,70
2,850,2,2,53,35
2,1027,2,1,53,44
4,3730,6,2,53,450
5,2000,4,2,53,180
9,1800,9,1,53,180
7,4000,7,2,53,130
3,1180,2,1,53,60
1,300,1,1,53,20
2,1290,2,2,53,52
2,1120,2,2,53,40
5,1538,5,2,53,300
2,1015,2,0,53,48
0,3000,1,0,53,177.115
2,600,2,0,53,35
2,1160,2,1,53,33.5
3,1762,3,3,53,112
4,3405.1,6,3,53,400
2,1085,2,1,53,57
2,1000,2,1,53,97
2,880,2,0,53,50
3,1385,2,2,53,48.48
2,1300,2,2,53,60
3,1752,3,2,53,105
2,1100,2,2,53,58
3,2070,3,3,53,135
3,1270,2,0,53,40.72
3,2173,3,2,53,128
2,1000,2,1,53,44
4,3090,4,0,53,325
2,1160,2,2,53,36.54
2,1044,2,1,53,34.77
2,1475,2,2,53,171
2,1196,2,2,53,57.9
3,800,2,1,53,52
3,1455,2,2,53,55
3,1230,2,2,53,52
3,1230,2,2,53,52
9,1150,9,0,53,140
2,1222,2,2,53,80
3,1917,3,2,53,132
7,1200,6,0,53,115
2,1190,2,1,53,48.6
3,1610,2,2,53,115
2,1074,2,1,53,42.79
3,1836,3,2,53,125
2,1125,2,1,53,48
3,1200,4,2,53,205
2,1054,2,1,53,53
6,3000,6,3,53,250
3,3071,4,0,53,300
2,1225,2,2,53,62
3,1450,2,3,53,50
5,1200,5,0,53,260
2,965,2,2,53,37.15
3,1285,2,2,53,45
2,1186,2,3,53,72
3,1843,3,1,53,87.54
2,780,2,1,53,31
2,1142,2,0,53,35
1,2000,1,0,53,200
2,929,2,2,53,49
7,4278,7,1,53,299
3,610,2,1,53,75
3,1846,3,2,53,135
2,1060,2,1,53,48.66
2,1500,2,0,53,145
2,1263,2,1,53,47.36
2,1200,2,1,53,54
2,550,1,1,53,20
3,1590,3,2,53,57
2,1110,2,2,53,36.25
2,900,2,2,53,160
3,1451,3,1,53,68
2,1082,2,2,53,64
3,1235,3,0,53,40.985
4,1200,4,1,53,190
3,1240,2,2,53,42.85
2,1270,2,1,53,94
2,1246,2,1,53,67.5
2,1140,2,2,53,43
1,400,1,1,53,75
2,883,2,1,53,37
3,1755,3,2,53,117
3,1524,2,3,53,72
2,850,2,1,53,45
3,2257,3,2,53,155
3,1715,3,2,53,105
2,1065,2,1,53,46
3,1610,3,3,53,78.5
2,1090,2,1,53,46
3,1950,3,3,53,132
3,1400,3,3,53,63
3,1640,3,3,53,245
3,1404,2,2,53,59
3,3500,3,2,53,275
3,1454,3,3,53,71.5
2,1185,2,2,54,75
6,1034,5,0,54,185
3,1200,3,1,54,90
2,1250,2,2,54,40
3,1630,3,2,54,68.29
3,1170,2,1,54,66
3,1375,3,2,54,70
4,1200,3,2,54,85
3,1780,3,1,54,84.83
2,1170,2,3,54,53
4,2268,3,2,54,163
2,880,2,2,54,29
3,1535,3,2,54,85
2,925,2,2,54,48
2,1197,2,1,54,84
2,1207,2,2,54,63
3,1985,4,2,54,189
5,1100,5,0,54,135
2,1184,2,3,54,53
4,1632,3,0,54,145
3,1200,3,1,54,95
3,1322,2,2,54,58.82
1,825,1,1,54,45
3,1819,3,2,54,100
2,1092,2,2,54,44
3,1200,3,2,54,56.2
2,1235,2,2,54,43.63
3,1615,3,3,54,58
3,1550,3,3,54,73.5
1,606,1,0,54,34.78
2,1400,2,2,54,100
5,5530,5,3,54,627
3,1950,3,2,54,130
2,1290,2,1,54,87
3,1615,3,2,54,89.75
4,3895,4,3,54,220
3,1400,2,2,54,41.58
4,4000,4,3,54,220
3,1374,2,2,54,70
2,1055,2,1,54,57.63
3,1618,3,1,54,68
2,1329,2,2,54,70
4,1,4,0,54,120
3,1715,3,2,54,115
2,1215,2,2,54,49.85
3,1500,2,1,54,120
6,875,3,1,54,98
3,1586,3,3,54,70
3,1645,3,2,54,120
1,715,1,2,54,29
3,1751,2,1,54,115
3,1220,2,1,54,35.23
3,1700,3,1,54,80
3,1355,2,3,54,58.25
3,1150,2,0,54,60
2,1235,2,1,54,49.3
4,3563,6,1,54,310
2,918,2,1,54,49
2,560,2,1,54,16.6
3,1620,3,2,54,130
1,905,1,1,54,50
2,1179,2,2,54,49.35
2,1083,2,1,54,32.49
4,7000,4,0,54,210
4,3000,4,0,54,100
4,1200,3,2,54,120
1,1200,1,0,54,48
6,750,4,1,54,150
2,1000,2,1,54,61
2,1200,2,2,54,75
3,1596,3,3,54,79.8
2,1299,2,1,54,100
3,1500,2,1,54,77.5
2,1190,2,2,54,63
4,2100,4,2,54,85
3,1220,3,2,54,57
2,750,2,0,54,58
3,2280,4,2,54,184
3,1520,2,2,54,85
1,670,1,1,54,50
3,909,2,1,54,43
3,1500,3,2,54,63
3,780,3,0,54,75
3,1568,2,2,54,100
2,1175,2,2,54,42
3,1220,3,2,54,56
3,1200,3,2,54,72
2,826,2,2,54,36
3,2254,3,2,54,170
3,1810,3,2,54,100
3,1135,2,3,54,39.73
2,1300,2,3,54,32
4,2400,5,2,54,100
2,1050,2,0,54,68
1,1806,1,1,54,150
2,1075,2,2,54,45
2,700,1,1,54,41
3,2087.01,4,2,54,135
2,1295,2,1,54,64
4,1200,4,1,54,175
2,1070,2,1,54,42.79
3,1215,2,2,54,46.8
2,1185,2,2,54,56
4,3750,5,3,54,145
2,1028,2,1,54,56
3,1270,2,2,54,57.15
2,1688.12,2,1,54,270
2,1255,2,1,54,58
4,3150,3,1,54,135
3,1431,3,2,54,85
2,1015,2,1,54,39.08
3,1330,2,1,54,58
2,1200,2,1,54,78
2,967,2,1,54,47.8
2,1250,2,0,54,48
6,1200,3,0,54,175
8,2400,8,1,54,250
2,1175,2,2,54,38
2,1300,2,3,54,95
3,1200,3,2,54,74.52
3,1830,3,3,54,89
3,1718,3,2,54,90.2
3,1635,3,3,54,85
3,1270,2,1,54,54
1,550,1,1,54,16.75
2,1135,2,2,54,46
4,2236,4,2,54,153
2,1130,2,2,54,55
2,1153,2,2,54,56.5
4,3206,5,0,54,270
2,1294,2,1,54,115
2,1057,2,1,54,42
6,2295,3,0,54,650
3,1724,3,1,54,125
5,1650,5,1,54,450
3,1348,2,2,54,80.5
4,2700,3,2,54,230
2,1140,2,2,54,44
2,1075,2,2,54,48
3,1600,2,3,55,75
3,1710,4,2,55,91.31
2,910,2,1,55,40
2,1325,2,2,55,76
2,708,1,1,55,40
3,2400,4,1,55,245
2,1050,1,0,55,56
3,1590,2,2,55,125
2,1091,2,1,55,34.9
1,1300,1,0,55,200
3,1100,3,2,55,53
3,1639,3,2,55,110
3,1500,3,3,55,100
4,3356,4,0,55,251
4,3500,3,3,55,450
3,1765,3,1,55,125
5,8000,5,0,55,500
1,660,1,0,55,28.585
2,1200,2,1,55,55
2,1041,2,2,55,65.5
3,1936,2,2,55,54.21
2,432,2,1,55,40
2,1095,2,0,55,40
3,1464,3,2,55,56
3,1767,3,2,55,98
2,1135,2,3,55,55
3,1380,2,1,55,52
2,1071,2,2,55,52.25
3,3515,3,1,55,420
2,1100,2,3,55,61
2,1080,2,2,55,50
3,1150,2,3,55,44
2,1178,2,3,55,73
6,2400,6,0,55,245
3,1500,3,2,55,65
3,1950,3,2,55,131
7,1200,7,2,55,225
4,2340,4,1,55,148
3,1700,3,2,55,155
3,1918,3,2,55,129
4,2830,5,2,55,160
2,1200,2,1,55,60
2,957,2,1,55,47
3,2300,3,0,55,317
2,1200,2,0,55,75
3,1391,2,2,55,64.5
2,1075,2,2,55,35
3,4000,3,1,55,235
2,1235,2,2,55,63
2,1230,2,3,55,94.5
2,800,1,0,55,170
3,1846,3,2,55,155
2,1090,2,2,55,48
4,3080,2,1,55,285
2,1010,2,1,55,40
2,1117,2,1,55,110
2,1165,2,2,55,47
3,1255,2,1,55,90
6,2000,6,0,55,85
3,1862,3,2,55,125
3,1685,3,2,55,95
3,1650,3,1,55,84
3,1435,3,3,55,57.2
5,4000,3,0,55,130
2,1325,2,2,55,65
5,1200,5,1,55,200
3,1465,2,1,55,45.87
2,957,2,0,55,52.5
3,1820,3,2,55,85.4
2,1200,2,2,55,47
3,1750,3,0,55,130
2,1130,2,1,55,32.63
3,1890,2,1,55,100
3,1240,2,2,55,65
1,552,1,1,55,23.5
2,950,2,1,55,31.95
2,1200,2,2,55,60
5,4900,5,0,55,980
1,525,1,1,55,26.25
4,1864,3,2,55,105
4,2850,5,0,55,240
3,1890,4,2,55,100
2,950,2,1,55,58.11
4,4900,4,0,55,393.5
4,2800,4,0,55,400
2,1225,2,2,55,48
3,1170,2,2,55,35.41
2,1200,2,3,55,68
1,645,1,1,55,34.18
2,1250,2,2,55,48.5
2,996,2,2,55,49
1,662,1,0,55,45
2,850,2,0,55,34
3,1691,3,3,55,120
2,1350,2,1,55,99
3,2048,3,2,55,206
3,1740,3,2,55,95
2,1161,2,1,55,59
3,1535,3,2,55,85
2,1186,2,1,55,76
3,1464,3,2,55,56
2,1070,2,1,55,48
2,1025,2,2,55,27.68
3,1530,3,3,55,75
2,1300,2,2,55,100
2,1171,2,2,55,39
2,1167,2,2,55,64.08
4,702,4,0,55,65
2,1170,2,2,55,65
2,999,2,2,55,32.9
2,1153,2,2,55,60
2,1320,2,1,55,160
2,1298,2,1,55,65
2,1044,2,2,55,36
5,2400,4,3,55,130
2,1250,2,2,55,93
1,610,1,0,55,28
2,1407,2,1,55,98.49
2,1220,2,2,55,60
3,1850,3,2,55,110
2,900,2,3,55,35
3,1075,2,1,55,32
2,1120,2,1,55,70
3,1250,3,2,55,39.5
3,1400,2,1,55,40.44
8,1200,10,2,55,180
3,2955,3,0,55,235
2,907,2,2,55,38
2,1197,2,1,55,56.86
4,1500,4,0,55,235
3,1550,3,2,55,68.5
2,1157,2,1,55,65
5,4144,5,1,55,331
3,1200,2,2,55,130
3,1622,3,0,55,95
2,1100,2,2,55,55
2,1203,2,2,55,60
3,1480,2,0,55,75
5,774,5,3,55,70
2,1200,2,2,56,44
2,957,2,1,56,58
3,1577,3,1,56,70
3,1850,3,1,56,150
3,1000,4,3,56,110
3,1385,2,2,56,48.48
3,2250,3,2,56,160
5,1210,4,2,56,160
4,3670,4,3,56,300
2,793,2,1,56,45
2,1141,2,0,56,62
3,1240,2,1,56,62
3,1475,2,2,56,120
2,1395,2,1,56,63.59
2,920,2,2,56,39.55
2,1130,2,1,56,32.64
2,1210,2,2,56,62
4,1200,4,2,56,215
2,1200,2,0,56,65
6,5080,7,0,56,450
4,2172.65,3,3,56,120
2,1100,2,2,56,55
3,720,3,3,56,65
0,2400,1,0,56,460
3,1700,3,0,56,80
2,1260,2,2,56,46.62
7,1500,9,2,56,250
2,1325,2,2,56,119
3,1410,2,2,56,80
3,1295,2,1,56,59.5
2,1180,2,2,56,100
2,1100,2,0,56,53
3,1286,3,2,56,61.44
1,905,1,1,56,55
3,1082,3,1,56,50.5
2,885,2,3,56,40
3,1858,3,1,56,98.3
1,596,1,1,56,42
5,3227,5,0,56,250
2,1280,2,1,56,76
3,1315,2,2,56,74
3,2135,3,2,56,160
3,1740,3,3,56,60
2,1200,2,1,56,59
2,1015,2,2,56,58
2,1160,2,2,56,42.92
3,1760,3,2,56,123
3,1541,3,3,56,80
2,900,2,0,56,48
2,1035,2,2,56,45.5
2,1255,2,2,56,79
3,1847,3,2,56,135
3,1897,4,2,56,93
3,1800,3,3,56,80
3,1508,3,1,56,75
3,1724,3,2,56,124
3,1685,3,3,56,100
6,1200,6,3,56,250
3,1410,2,2,56,38
2,674,1,1,56,19.9
2,1200,2,2,56,75
6,2800,4,3,56,100
3,1425,2,2,56,56.99
2,1060,2,1,56,53
2,1261,2,2,56,61
3,1480,2,2,56,84
1,1500,1,0,56,75
5,2400,4,1,56,310
3,1075,2,1,56,41
2,1170,2,2,56,65
4,2403,4,2,56,270
2,1170,2,2,56,75
2,1050,2,1,56,70
3,1352,3,1,56,65
3,1065,2,2,56,42.59
9,2400,8,0,56,325
2,1128,2,1,56,48.79
3,2079,3,3,56,220
2,1040,2,1,56,61
3,2500,3,2,56,100
2,1400,2,3,56,85
4,3750,6,2,56,375
2,1175,2,1,56,48.72
2,1308,2,1,56,60
2,1140,2,2,56,40
2,1300,2,1,56,54
1,596,1,0,56,31.315
4,3000,3,3,56,300
2,1050,2,2,56,52.08
3,1475,2,2,56,58.99
2,1275,2,2,56,47
2,1200,2,2,56,75
3,1580,3,1,56,83.74
3,2250,3,2,56,199
3,1282,3,2,56,178
2,1090,2,1,56,57
3,1310,2,1,56,37.84
2,1306,2,3,56,65
2,905,2,1,56,65
1,560,1,1,56,45
3,1910,3,2,56,150
2,1125,2,1,56,32.49
3,1730,3,1,56,95
2,900,2,1,56,48
2,1160,2,1,56,67
3,1215,2,3,56,48.6
2,902,2,2,56,25
3,2400,2,2,56,185
2,980,2,1,56,25
3,1650,3,2,56,85.5
2,1035,2,1,56,51.5
3,1685,4,2,56,185
2,1161,2,1,56,55.15
3,1518,3,3,56,80
3,1584.01,3,1,56,104
3,4395,3,3,56,240
4,1560,4,1,56,160
2,1000,2,2,56,50
3,2289,3,2,56,178
4,3150,4,3,56,180
4,2400,2,2,56,250
3,1480,3,1,56,75.48
6,2750,6,3,56,200
3,1485,3,2,56,72
4,1350,4,1,56,310
4,1200,4,1,56,125
3,1410,2,2,56,45.12
2,1300,2,3,56,90
2,1150,2,2,56,90
3,1846,3,2,56,120
2,1216,2,1,56,75
4,1200,4,1,56,85
3,1800,3,1,56,130
2,1314,2,0,56,225
2,1225,2,2,56,48
3,1616,3,3,56,40
3,440,3,1,56,35
4,4000,6,1,56,370
2,1187,2,2,56,40.14
4,3010,1,0,57,192
3,1250,2,3,57,44
3,4050,3,2,57,280
1,525,1,0,57,21.53
4,11890,4,3,57,700
2,1372,2,1,57,68
2,1000,2,2,57,50
4,1200,4,0,57,220
2,918,2,1,57,50.49
3,1710,3,2,57,107
1,400,1,1,57,12
2,1500,2,2,57,69
3,1390,2,2,57,60.47
3,1415,2,1,57,55
9,7160,9,1,57,296
3,1532,3,3,57,92
2,890,2,0,57,40
2,1150,2,2,57,46
2,927,2,2,57,55
4,3012,6,2,57,250
3,1100,2,2,57,75
4,4750,5,0,57,600
3,1440,2,2,57,60.33
4,3630,6,0,57,200.5
3,1692,3,2,57,88
5,1440,5,1,57,110
2,1238,2,1,57,67
7,3000,4,2,57,900
4,3500,5,3,57,150
1,527,1,0,57,26
7,780,7,3,57,150
3,1616,3,1,57,65
2,1160,2,2,57,42
2,1069,2,0,57,55
2,1365,2,2,57,73
2,600,2,2,57,27
1,1260,1,1,57,41
16,10000,16,0,57,550
4,2145,4,0,57,125
3,1560,3,3,57,66
2,1141,2,1,57,42.75
3,2770,4,3,57,315
5,1080,6,3,57,65
2,1080,2,2,57,38
3,2400,3,1,57,165
1,620,1,1,57,27
2,1600,2,1,57,63.98
3,1830,3,2,57,101
1,662,1,1,57,42
4,3360,5,0,57,225
3,1778,3,2,57,122
4,3100,4,2,57,350
3,1200,3,2,57,72
3,1400,2,3,57,50.06
2,1275,2,1,57,87
4,1200,4,0,57,90
3,1580,3,3,57,53.56
3,1150,2,2,57,49.9
3,1853,3,1,57,64.86
2,1220,2,1,57,59
2,1151,2,1,57,42.9
8,3500,6,2,57,120
2,900,2,3,57,50
3,1080,2,2,57,75
2,1100,2,2,57,46
3,600,4,1,57,81
5,4050,4,1,57,600
2,1268,2,1,57,69
3,1500,3,0,57,83
2,1125,2,2,57,45.56
3,1350,3,2,57,47.25
3,1750,1,0,57,152
6,1200,6,3,57,220
2,1100,2,2,57,55
3,1000,3,1,57,130
2,1141,2,1,57,55
2,1200,2,2,57,44.4
2,1351,2,2,57,74
3,1300,2,1,57,67
3,1625,2,2,57,54
2,1152,2,2,57,61
2,850,1,1,57,39.5
2,1089,2,1,57,43.55
4,3060,4,2,57,350
2,1095,2,2,57,33.6
3,1996,4,1,57,123
3,1660,2,0,57,100
4,2400,4,2,57,405
2,1040,2,1,57,41.6
2,1100,3,0,57,125
2,1250,2,0,57,75
3,1550,3,3,57,75
2,1216,2,1,57,84.03
4,3700,4,2,57,314
3,1929,3,1,57,103
3,1119,2,1,57,48.5
3,1763.25,3,3,57,98
4,2249.81,4,2,57,245
2,1447,2,1,57,75.97
3,2357,3,2,57,135
2,1280,2,1,57,120
2,1125,2,1,57,32.49
3,1450,3,1,57,88.6
2,978,2,1,57,34.22
3,1505,3,2,57,78
1,600,1,0,57,20
4,2422,4,3,57,135
3,1520,2,3,57,81
3,1800,3,2,57,60
3,1535,3,1,57,72
5,3300,3,1,57,255
6,2400,5,2,57,75
4,1350,4,0,57,175
3,1300,2,2,57,57
4,875,4,0,57,150
4,4600,6,2,57,650
3,1300,3,3,57,77.99
3,1518,3,3,57,75
2,1170,2,1,57,56
1,1200,1,0,57,39.82
6,7000,6,2,57,560
1,500,1,1,57,13
3,1760,3,2,57,185
2,823,2,1,57,80
3,1290,2,3,57,38.69
2,1260,2,2,57,85.5
3,1581,3,3,57,76
3,1891,3,1,57,110
1,595,1,1,57,40
3,600,3,1,57,90
2,1005,2,2,57,40
7,1500,7,3,57,130
3,1221,3,3,57,65
2,1400,2,2,57,65
3,1719,3,3,57,95
3,1855,3,3,57,135
3,1571,3,3,57,63
3,1500,2,3,57,78
1,500,1,3,57,220
2,1500,2,2,58,185
3,2795,4,0,58,235
3,2420,3,2,58,185
2,1200,2,2,58,65
2,1250,2,1,58,76
3,1282,2,2,58,49
1,469,1,0,58,25
2,1202,2,1,58,48
4,1950,4,0,58,130
3,1082,2,1,58,57.5
2,1400,2,0,58,60
2,1243,2,1,58,46
3,1278,2,1,58,53.76
3,1419,2,2,58,59
2,1105,2,1,58,65
3,1650,3,0,58,110
9,2550,9,0,58,360
2,1080,2,1,58,54
2,1242,2,3,58,39.7
3,1530,3,2,58,74.5
3,1260,5,1,58,185
3,1285,2,2,58,68
2,870,2,1,58,39.5
4,5000,4,3,58,290
3,1645,3,3,58,100
3,2160,3,2,58,160
3,1465,2,3,58,74.72
3,1400,2,1,58,88
2,1118,2,1,58,75
2,1300,2,2,58,80
3,1800,3,2,58,150
2,1392,2,1,58,99
2,918,2,2,58,55
2,829,2,1,58,22.8
2,1000,2,3,58,25
5,1270,4,1,58,128
4,3530,4,2,58,290
4,1200,4,3,58,110
4,2400,6,3,58,600
2,1145,2,2,58,49.5
2,1080,2,2,58,55
1,813,1,1,58,39
2,1060,2,0,58,35
2,1200,2,1,58,50.3
4,3000,4,3,58,306
8,2400,9,3,58,350
4,910,4,1,58,140
2,1200,2,2,58,48
5,1440,5,1,58,100
3,1300,3,2,58,77.99
2,1100,2,1,58,45
2,1430,2,2,58,110
2,700,2,1,58,40
2,1123,2,1,58,48
3,1460,3,1,58,70
1,600,1,1,58,43
2,1210,2,1,58,83
3,2700,3,0,58,324
2,1455,2,0,58,69
2,1027,2,2,58,44
4,3532,3,3,58,170
3,1430,3,1,58,78.65
5,2400,5,2,58,93
3,1783,3,2,58,125
2,700,2,1,58,33
3,1826,3,2,58,130
3,1255,2,1,58,90
3,1450,2,2,58,87
1,360,1,0,58,16.9
1,655,1,0,58,28.57
4,4050,1,0,58,341
4,2600,4,3,58,175
2,1027,2,2,58,43
3,1330,2,2,58,39.9
2,1225,2,0,58,65
2,1200,2,2,58,51
4,2000,4,1,58,135
3,1223,2,2,58,42.81
4,2690,4,3,58,201
2,1186,2,3,58,55
2,958,2,1,58,34.49
2,1295,2,3,58,78.5
3,1804,3,2,58,175
3,1200,2,1,58,41
1,782,1,0,58,19.55
3,1320,2,2,58,55
5,900,6,1,58,95
2,1460,2,0,58,80
3,1700,3,1,58,194
2,850,2,1,58,25.4
4,2502,4,2,58,170
3,1707,3,2,58,171
1,381,1,1,58,28
8,1244,6,2,58,130
2,1100,2,2,58,72
3,1355,2,3,58,58.25
3,1900,3,3,58,150
3,1504,3,2,58,67
2,1165,2,1,58,40
4,1200,3,1,58,160
3,1530,3,2,58,64
2,1575,2,3,58,85
3,1862,4,1,58,110
4,4041,4,2,58,345
2,1250,2,1,58,55.55
2,1180,2,1,58,77
2,1050,2,2,58,52.5
3,1430,1,0,58,70.99
3,1423,2,1,58,71.73
4,2524,5,2,58,180
2,1150,2,1,58,46
3,1770,3,3,58,108
5,1200,5,2,58,138
3,1798,3,3,58,73
4,1200,6,3,58,60
3,1340,2,3,58,42
4,3850,6,0,58,205
4,3600,4,2,58,300
2,1350,2,2,58,89.5
4,1018,4,1,58,150
3,1450,2,2,58,78
5,2400,4,1,58,325
3,2137,3,2,58,110
2,990,2,2,58,50
3,1021,3,2,58,59
5,3250,5,2,58,395
2,1205,2,1,58,79
3,1735,3,3,58,78
3,1837,3,1,58,110
2,1015,2,3,58,56
3,1430,2,1,58,102
2,980,2,3,58,35
2,1046,2,1,58,48
3,1400,2,2,58,68
2,995,2,1,58,40.8
2,1255,2,2,58,56.5
2,1125,2,2,58,46
3,1850,3,2,58,89
4,1200,5,0,58,325
6,1407,4,1,59,150
2,1125,2,2,59,50
2,800,1,1,59,20
3,1350,2,0,59,140
3,1400,2,1,59,95
9,5000,9,3,59,210
4,3800,4,3,59,250
2,1202,2,1,59,53
3,1695,3,1,59,90
2,1001,2,2,59,33.03
7,4100,7,0,59,140
3,1575,3,0,59,78
2,1133,2,2,59,55
2,1121,2,2,59,78
